7   [[100,275]]   [0.008795379236654449]
8   [[100,275]]   [0.008795379236654449]
12   [[118,257]]   [0.009780624129534675]
17   [[136,238]]   [0.010205337297385566]
20   [[153,234]]   [0.009917268344502407]
21   [[162,233]]   [0.009159722549744322]
22   [[162,233]]   [0.00897177677696973]
23   [[167,234]]   [0.00897600899329792]
24   [[169,234]]   [0.008975035987004302]
25   [[192,250]]   [0.0089989074209932]
27   [[197,261]]   [0.008803375772814153]
29   [[198,253]]   [0.009021991219612726]
30   [[198,253]]   [0.009021991219612726]
34   [[197,255]]   [0.00877043051443681]
37   [[197,255]]   [0.008684323385815993]
38   [[197,255]]   [0.008684323385815993]
42   [[203,259]]   [0.008436528046554133]
44   [[203,259]]   [0.008232110062280832]
45   [[203,259]]   [0.008232110062280832]
49   [[205,257]]   [0.008118372798730492]
51   [[219,254]]   [0.0076395461514552985]
53   [[219,254]]   [0.0076395461514552985]
54   [[219,254]]   [0.0076395461514552985]
58   [[219,254]]   [0.007406682462823192]
59   [[219,254]]   [0.007315146962319264]
60   [[219,254]]   [0.007269418483775914]
64   [[269,194]]   [0.0065998535154140675]
74   [[292,207]]   [0.0060516888181877245]
77   [[292,207]]   [0.005869442295556854]
78   [[292,207]]   [0.005869442295556854]
82   [[269,190]]   [0.005846970784492068]
2   [[100,240]]   [0.007406196880352543]
2   [[100,240]]   [0.007406196880352543]
2   [[100,240]]   [0.007406196880352543]
2   [[100,240]]   [0.007406196880352543]
3   [[100,254]]   [0.008344034358655545]
5   [[101,274]]   [0.008862113789432177]
7   [[101,274]]   [0.008862113789432177]
8   [[101,274]]   [0.008862113789432177]
9   [[114,261]]   [0.00918828605031883]
12   [[120,255]]   [0.009301270090460455]
12   [[120,255]]   [0.009301270090460455]
12   [[131,243]]   [0.009237487959517773]
14   [[136,238]]   [0.009663467086168036]
15   [[136,238]]   [0.00992376214267157]
16   [[164,241]]   [0.009439079332131131]
17   [[173,245]]   [0.009632695027153521]
17   [[173,245]]   [0.009827216605885971]
18   [[184,256]]   [0.009984373977247094]
27   [[197,263]]   [0.00969822960397331]
31   [[197,263]]   [0.00975031713428552]
32   [[197,263]]   [0.00975031713428552]
36   [[199,263]]   [0.009663042446558837]
38   [[199,263]]   [0.009096078481185727]
39   [[199,263]]   [0.009096078481185727]
43   [[204,269]]   [0.008865058249004345]
46   [[211,263]]   [0.008004153089703188]
47   [[211,263]]   [0.00784600916080474]
51   [[247,264]]   [0.007500872686471116]
52   [[247,264]]   [0.007500872686471116]
53   [[247,264]]   [0.007449792450878499]
57   [[247,264]]   [0.007167895857311269]
59   [[247,264]]   [0.0071049467523339]
60   [[247,264]]   [0.007073075958167894]
64   [[247,264]]   [0.006980734817467287]
66   [[247,264]]   [0.006847276011648501]
67   [[247,264]]   [0.00677456107724083]
71   [[261,279]]   [0.006579925511944825]
73   [[261,279]]   [0.0064697317905085955]
74   [[261,279]]   [0.006429688502021578]
78   [[227,320]]   [0.005993864377076132]
2   [[650,180]]   [238.0]
2   [[650,180]]   [238.0]
2   [[570,180]]   [54.0]
3   [[548,182]]   [69.0]
11   [[545,204]]   [762.0]
2   [[605,180]]   [100.0]
2   [[570,180]]   [54.0]
3   [[547,183]]   [106.0]
11   [[545,204]]   [402.0]
3   [[548,182]]   [75.0]
3   [[548,182]]   [75.0]
3   [[603,180]]   [72.0]
3   [[603,180]]   [72.0]
5   [[540,190]]   [132.0]
7   [[519,211]]   [470.0]
12   [[547,203]]   [421.0]
14   [[547,203]]   [911.0]
15   [[547,203]]   [911.0]
17   [[547,203]]   [1243.0]
2   [[570,180]]   [54.0]
