PB
38;[397,122];4;337.0;
38;[397,191];3;333.0;
38;[454,299];3;177.0;
38;[465,416];3;93.0;
38;[471,91];3;104.0;
38;[478,255];3;253.0;
38;[552,107];3;64.0;
38;[559,258];3;137.0;
38;[587,81];1;0.0;
38;[296,53];1;0.0;
38;[336,53];2;37.0;
38;[376,53];2;72.0;
38;[416,53];3;105.0;
38;[209,84];2;0.0;
38;[290,108];2;104.0;
38;[330,108];2;136.0;
38;[627,140];1;0.0;
38;[432,213];2;168.0;
38;[358,221];4;159.0;
38;[595,239];2;37.0;
38;[635,239];1;0.0;
38;[195,240];1;0.0;
38;[518,255];2;163.0;
38;[603,286];2;37.0;
38;[629,286];1;0.0;
38;[203,289];2;35.0;
38;[164,296];1;0.0;
38;[400,309];3;110.0;
38;[348,342];3;37.0;
38;[498,447];2;0.0;
38;[436,450];3;37.0;
38;[435,485];1;0.0;

PB
45;[214,122];2;0.0;
45;[242,106];3;70.0;
45;[242,267];3;96.0;
45;[303,256];4;120.0;
45;[331,257];3;98.0;
45;[347,412];3;68.0;
45;[356,303];4;99.0;
45;[383,456];2;0.0;
45;[397,122];4;349.0;
45;[397,191];3;338.0;
45;[454,299];3;148.0;
45;[465,416];3;94.0;
45;[471,91];3;94.0;
45;[471,264];3;274.0;
45;[553,108];3;67.0;
45;[557,253];3;167.0;
45;[587,81];1;0.0;
45;[611,223];3;70.0;
45;[296,53];1;0.0;
45;[336,53];2;39.0;
45;[376,53];2;76.0;
45;[416,53];3;111.0;
45;[209,84];2;0.0;
45;[290,108];2;107.0;
45;[330,108];2;137.0;
45;[627,140];1;0.0;
45;[644,206];1;0.0;
45;[432,213];3;228.0;
45;[366,217];4;211.0;
45;[643,239];1;0.0;
45;[195,240];1;0.0;
45;[598,286];2;39.0;
45;[628,286];1;0.0;
45;[199,288];2;35.0;
45;[169,291];1;0.0;
45;[396,309];3;81.0;
45;[348,370];3;110.0;
45;[318,446];2;0.0;
45;[498,447];2;0.0;
45;[436,450];3;39.0;
45;[435,485];1;0.0;

PB
46;[214,122];2;0.0;
46;[242,106];3;70.0;
46;[242,267];3;96.0;
46;[303,256];4;120.0;
46;[331,257];3;98.0;
46;[347,412];3;68.0;
46;[356,303];4;99.0;
46;[383,456];2;0.0;
46;[397,122];4;349.0;
46;[397,191];3;338.0;
46;[454,299];3;148.0;
46;[465,416];3;94.0;
46;[471,91];3;94.0;
46;[471,264];3;274.0;
46;[553,108];3;67.0;
46;[557,253];3;167.0;
46;[587,81];1;0.0;
46;[611,223];3;70.0;
46;[296,53];1;0.0;
46;[336,53];2;39.0;
46;[376,53];2;76.0;
46;[416,53];3;111.0;
46;[209,84];2;0.0;
46;[290,108];2;107.0;
46;[330,108];2;137.0;
46;[627,140];1;0.0;
46;[644,206];1;0.0;
46;[432,213];3;228.0;
46;[366,217];4;211.0;
46;[643,239];1;0.0;
46;[195,240];1;0.0;
46;[598,286];2;39.0;
46;[628,286];1;0.0;
46;[199,288];2;35.0;
46;[169,291];1;0.0;
46;[396,309];3;81.0;
46;[348,370];3;110.0;
46;[318,446];2;0.0;
46;[498,447];2;0.0;
46;[436,450];3;39.0;
46;[435,485];1;0.0;

PB
50;[175,224];1;0.0;
50;[214,122];2;0.0;
50;[219,229];2;36.0;
50;[242,106];3;77.0;
50;[242,267];3;108.0;
50;[331,256];4;225.0;
50;[347,412];3;72.0;
50;[356,303];3;89.0;
50;[379,303];2;67.0;
50;[397,122];4;357.0;
50;[397,191];3;358.0;
50;[454,299];3;176.0;
50;[465,416];3;95.0;
50;[471,91];3;123.0;
50;[477,255];3;295.0;
50;[553,108];3;98.0;
50;[558,255];3;163.0;
50;[589,81];2;40.0;
50;[618,76];1;0.0;
50;[296,53];1;0.0;
50;[336,53];2;40.0;
50;[376,53];2;78.0;
50;[416,53];3;111.0;
50;[209,84];2;0.0;
50;[290,108];2;114.0;
50;[330,108];2;148.0;
50;[627,140];1;0.0;
50;[432,213];3;245.0;
50;[366,217];3;208.0;
50;[583,222];2;78.0;
50;[623,223];2;40.0;
50;[643,239];1;0.0;
50;[517,255];2;196.0;
50;[603,286];2;40.0;
50;[628,286];1;0.0;
50;[173,287];1;0.0;
50;[348,343];3;112.0;
50;[318,446];2;0.0;
50;[498,447];2;0.0;
50;[381,449];2;0.0;
50;[436,450];3;40.0;
50;[435,485];1;0.0;

PB
59;[175,224];1;0.0;
59;[214,128];2;0.0;
59;[219,224];2;42.0;
59;[234,278];2;78.0;
59;[243,108];3;82.0;
59;[247,256];3;163.0;
59;[331,256];3;333.0;
59;[347,412];3;67.0;
59;[356,303];3;204.0;
59;[379,303];2;80.0;
59;[397,122];4;452.0;
59;[397,191];3;424.0;
59;[454,299];3;180.0;
59;[465,416];3;120.0;
59;[471,91];3;214.0;
59;[471,264];3;274.0;
59;[554,108];3;133.0;
59;[557,255];3;185.0;
59;[570,132];2;43.0;
59;[570,233];2;83.0;
59;[590,76];2;43.0;
59;[618,76];1;0.0;
59;[296,53];1;0.0;
59;[336,53];2;41.0;
59;[376,53];2;80.0;
59;[416,53];3;116.0;
59;[207,83];2;0.0;
59;[508,107];2;183.0;
59;[289,108];2;104.0;
59;[329,108];2;141.0;
59;[627,140];1;0.0;
59;[432,213];3;274.0;
59;[366,217];3;283.0;
59;[609,223];2;43.0;
59;[643,239];1;0.0;
59;[159,269];1;0.0;
59;[586,285];2;43.0;
59;[626,286];1;0.0;
59;[195,287];2;43.0;
59;[348,370];2;123.0;
59;[318,446];2;0.0;
59;[498,447];2;0.0;
59;[381,449];2;0.0;
59;[436,450];3;43.0;
59;[435,485];1;0.0;

PB
66;[214,128];2;0.0;
66;[219,224];2;39.0;
66;[243,108];3;79.0;
66;[247,256];3;120.0;
66;[331,256];3;290.0;
66;[347,412];3;63.0;
66;[356,303];3;185.0;
66;[379,303];2;74.0;
66;[397,122];4;395.0;
66;[397,191];3;388.0;
66;[454,299];3;168.0;
66;[465,416];3;113.0;
66;[471,91];3;206.0;
66;[471,264];3;238.0;
66;[554,108];3;147.0;
66;[557,255];3;146.0;
66;[574,225];3;74.0;
66;[619,76];2;41.0;
66;[296,53];1;0.0;
66;[336,53];2;40.0;
66;[376,53];2;77.0;
66;[416,53];3;111.0;
66;[578,76];2;80.0;
66;[207,83];2;0.0;
66;[642,98];1;0.0;
66;[508,107];2;166.0;
66;[289,108];2;102.0;
66;[329,108];2;137.0;
66;[581,138];1;0.0;
66;[558,209];1;0.0;
66;[432,213];3;241.0;
66;[366,217];3;250.0;
66;[616,222];2;2.0;
66;[179,228];2;1.0;
66;[633,259];2;0.0;
66;[172,268];2;1.0;
66;[208,287];2;36.0;
66;[348,370];2;117.0;
66;[318,446];2;0.0;
66;[498,447];2;0.0;
66;[381,449];2;0.0;
66;[436,450];3;41.0;
66;[435,485];1;0.0;

PB
67;[214,128];2;0.0;
67;[219,224];2;39.0;
67;[243,108];3;79.0;
67;[247,256];3;120.0;
67;[331,256];3;290.0;
67;[347,412];3;63.0;
67;[356,303];3;185.0;
67;[379,303];2;74.0;
67;[397,122];4;395.0;
67;[397,191];3;388.0;
67;[454,299];3;168.0;
67;[465,416];3;113.0;
67;[471,91];3;206.0;
67;[471,264];3;238.0;
67;[554,108];3;147.0;
67;[557,255];3;146.0;
67;[574,225];3;74.0;
67;[619,76];2;41.0;
67;[296,53];1;0.0;
67;[336,53];2;40.0;
67;[376,53];2;77.0;
67;[416,53];3;111.0;
67;[578,76];2;80.0;
67;[207,83];2;0.0;
67;[642,98];1;0.0;
67;[508,107];2;166.0;
67;[289,108];2;102.0;
67;[329,108];2;137.0;
67;[581,138];1;0.0;
67;[558,209];1;0.0;
67;[432,213];3;241.0;
67;[366,217];3;250.0;
