PB
27;[416,53];3;0.004403341900471967;
27;[208,85];1;0.0029076605319184744;
27;[641,90];1;0.002684908511725558;
27;[290,108];2;0.0037556376208331935;
27;[330,108];2;0.004243074976416206;
27;[201,122];1;0.0028827248441289097;
27;[590,138];3;0.003047821330502707;
27;[629,142];1;0.002739713555500492;
27;[324,199];3;0.004386428131002569;
27;[432,213];3;0.004931990728265211;
27;[518,259];3;0.0037841759461524436;
27;[592,296];2;0.0029851772725608067;
27;[337,297];3;0.003753132067539693;
27;[613,302];1;0.0028125907338378024;
27;[348,380];1;0.002909202682636181;
27;[464,380];1;0.0028807013838266365;

PB
36;[212,288];2;0.003057078008503754;
36;[242,107];3;0.0029451760144046037;
36;[242,267];3;0.0033996024376911475;
36;[303,256];4;0.0040888934064187265;
36;[331,257];3;0.004356692267064944;
36;[347,409];1;0.00304629152671902;
36;[350,286];5;0.004342892130894189;
36;[397,122];4;0.0046426519993964625;
36;[397,191];3;0.005046831249981644;
36;[454,299];3;0.004191114354254502;
36;[465,416];3;0.003006498915272393;
36;[471,91];3;0.0037443020415135956;
36;[478,255];3;0.004462800172003909;
36;[553,108];3;0.0029934079474704016;
36;[559,258];3;0.0035347333610725984;
36;[589,85];2;0.0026844526799684487;
36;[296,53];1;0.0027024829164199486;
36;[336,53];2;0.0030117752171754685;
36;[376,53];2;0.003378034969293161;
36;[416,53];3;0.0038163555775665757;
36;[209,84];1;0.002647243433652184;
36;[641,90];1;0.002368864104471781;
36;[290,108];2;0.00334751085193959;
36;[330,108];2;0.0037491176349183867;
36;[202,122];1;0.0026307322780868194;
36;[628,141];1;0.0024277180441138143;
36;[432,213];3;0.004814985080143317;
36;[366,217];5;0.004733605574138438;
36;[595,239];2;0.003129475061765052;
36;[635,239];1;0.0027968710143326096;
36;[195,240];1;0.0028931401569910896;
36;[518,255];2;0.0039670801630513775;
36;[603,286];2;0.003031726766993362;
36;[629,286];1;0.0028205162147220447;
36;[167,295];1;0.0026999744654450965;
36;[400,309];3;0.004057893567873134;
36;[348,342];3;0.0037791337862014707;
36;[498,447];2;0.002672144475318656;
36;[436,450];3;0.002687200366811521;
36;[435,485];1;0.002405043447323517;

PB
37;[212,288];2;0.003057078008503754;
37;[242,107];3;0.0029451760144046037;
37;[242,267];3;0.0033996024376911475;
37;[303,256];4;0.0040888934064187265;
37;[331,257];3;0.004356692267064944;
37;[347,409];1;0.00304629152671902;
37;[350,286];5;0.004342892130894189;
37;[397,122];4;0.0046426519993964625;
37;[397,191];3;0.005046831249981644;
37;[454,299];3;0.004191114354254502;
37;[465,416];3;0.003006498915272393;
37;[471,91];3;0.0037443020415135956;
37;[478,255];3;0.004462800172003909;
37;[553,108];3;0.0029934079474704016;
37;[559,258];3;0.0035347333610725984;
37;[589,85];2;0.0026844526799684487;
37;[296,53];1;0.0027024829164199486;
37;[336,53];2;0.0030117752171754685;
37;[376,53];2;0.003378034969293161;
37;[416,53];3;0.0038163555775665757;
